            perf [006] 77429.798079591:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.798082760:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.798082760:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.798082760:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.798082760:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.798082760:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.798082760:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.798082760:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.798082760:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.798082760:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.798082760:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.798082760:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.798082764:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.798084706:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.798084706:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.798084707:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.798300816:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.798303015:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.798303015:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.798303015:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.798303015:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.798303015:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.798303015:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.798303015:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.798303015:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.798303015:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.798303015:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.798303015:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.798303019:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.798304276:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.798304276:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.798304278:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.798516756:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.798518786:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.798518786:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.798518786:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.798518786:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.798518786:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.798518786:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.798518786:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.798518786:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.798518786:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.798518786:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.798518786:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.798518790:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.798519919:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.798519919:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.798519920:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.798734009:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.798736009:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.798736009:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.798736009:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.798736009:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.798736009:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.798736009:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.798736009:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.798736009:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.798736009:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.798736009:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.798736009:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.798736012:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.798737213:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.798737213:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.798737215:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.798949016:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.798951151:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.798951151:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.798951151:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.798951151:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.798951151:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.798951151:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.798951151:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.798951151:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.798951151:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.798951151:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.798951151:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.798951155:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.798952404:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.798952404:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
